incident_id,severity_label,severity_score,area_load,available_teams,team_skill_match,historical_team_performance,citizen_trust_score,priority_level,assigned_team,suggested_resources
28,Medium,0.6,0.72,2,0.98,0.84,0.53,P2,Team_B,Medium
29,High,0.9,0.41,3,0.73,0.75,0.97,P2,Team_B,Medium
30,Medium,0.6,0.12,2,0.81,0.64,0.72,P2,Team_A,Medium
31,Low,0.3,0.95,2,0.77,0.87,0.89,P2,Team_A,Medium
32,Low,0.3,0.28,3,0.59,0.62,0.73,P3,Team_C,Low
33,Low,0.3,0.25,4,0.32,0.72,0.99,P3,Team_B,Low
34,Medium,0.6,0.76,2,0.82,0.69,0.84,P2,Team_A,Medium
35,High,0.9,0.1,3,0.19,0.47,0.91,P2,Team_C,Medium
36,Medium,0.6,0.51,4,0.73,0.8,0.53,P2,Team_B,Medium
37,High,0.9,0.32,1,0.86,0.67,0.8,P2,Team_B,Medium
38,Low,0.3,0.81,3,0.89,0.89,0.67,P2,Team_A,Medium
39,High,0.9,0.62,3,0.78,0.23,0.73,P1,Team_C,High
40,Low,0.3,0.48,2,0.97,0.74,0.64,P2,Team_B,Medium
41,Medium,0.6,0.39,4,0.53,0.67,0.95,P2,Team_A,Medium
42,Medium,0.6,0.55,4,0.9,0.91,0.9,P2,Team_B,Medium
43,Low,0.3,0.52,4,0.72,0.55,0.94,P2,Team_A,Medium
44,High,0.9,0.76,3,0.5,0.84,0.46,P1,Team_C,High
45,Low,0.3,0.43,3,0.57,0.68,0.8,P2,Team_A,Medium
46,High,0.9,0.76,4,0.39,0.86,0.7,P1,Team_B,High
47,Low,0.3,0.37,4,0.65,0.89,0.94,P3,Team_A,Low
48,High,0.9,0.26,2,0.78,0.47,0.73,P2,Team_C,Medium
49,Low,0.3,0.77,3,0.84,0.77,0.94,P2,Team_B,Medium
50,Low,0.3,0.23,1,0.82,0.91,0.52,P3,Team_B,Low
51,Medium,0.6,0.55,1,0.71,0.47,0.65,P2,Team_C,Medium
52,Low,0.3,0.93,4,0.7,0.78,0.54,P2,Team_A,Medium
53,Low,0.3,0.25,2,0.93,0.45,0.91,P3,Team_A,Low
54,Medium,0.6,0.68,2,0.66,0.67,0.99,P2,Team_C,Medium
55,High,0.9,0.24,2,0.91,0.5,0.87,P2,Team_A,Medium
56,Low,0.3,0.42,2,0.88,0.59,0.89,P2,Team_A,Medium
57,Low,0.3,0.84,2,0.79,0.72,0.97,P2,Team_B,Medium
58,Medium,0.6,0.64,1,0.81,0.67,0.62,P2,Team_C,Medium
59,High,0.9,0.6,3,0.72,0.6,0.75,P2,Team_A,Medium
60,High,0.9,0.67,4,0.62,0.63,0.96,P1,Team_B,High
61,Medium,0.6,0.26,2,0.44,0.45,0.52,P2,Team_A,Medium
62,Medium,0.6,0.29,4,0.77,0.5,0.64,P2,Team_A,Medium
63,Medium,0.6,0.53,4,0.78,0.82,0.31,P2,Team_B,Medium
64,Low,0.3,0.55,1,0.74,0.25,0.99,P2,Team_C,Medium
65,Medium,0.6,0.27,3,0.79,0.39,0.41,P2,Team_C,Medium
66,Low,0.3,0.13,2,0.95,0.51,0.5,P3,Team_C,Low
67,Low,0.3,0.45,4,0.82,0.92,0.92,P2,Team_C,Medium
68,High,0.9,0.46,1,0.67,0.64,0.41,P2,Team_B,Medium
69,High,0.9,0.45,1,0.6,0.63,0.6,P2,Team_B,Medium
70,Low,0.3,0.57,4,0.85,0.32,0.57,P2,Team_A,Medium
71,Low,0.3,0.89,2,0.89,0.51,0.89,P2,Team_C,Medium
72,Medium,0.6,0.14,4,0.74,0.4,0.81,P2,Team_B,Medium
73,Low,0.3,0.56,4,0.57,0.86,0.86,P2,Team_A,Medium
74,High,0.9,0.52,4,0.66,0.44,0.35,P2,Team_B,Medium
75,Medium,0.6,0.11,2,0.69,0.84,0.45,P2,Team_A,Medium
76,Medium,0.6,0.31,4,0.79,0.7,0.97,P2,Team_A,Medium
77,Medium,0.6,0.64,2,0.76,0.47,0.64,P2,Team_C,Medium
78,Medium,0.6,0.39,1,0.91,0.69,0.41,P2,Team_B,Medium
79,Medium,0.6,0.48,1,0.65,0.59,0.81,P2,Team_B,Medium
80,High,0.9,0.06,2,0.78,0.83,0.89,P2,Team_A,Medium
81,Low,0.3,0.54,2,0.31,0.81,0.76,P2,Team_C,Medium
82,Low,0.3,0.59,3,0.68,0.78,0.61,P2,Team_B,Medium
83,Low,0.3,0.51,3,0.36,0.73,0.49,P2,Team_B,Medium
84,Low,0.3,0.54,1,0.68,0.24,0.66,P2,Team_B,Medium
85,Low,0.3,0.71,3,0.63,0.67,0.91,P2,Team_A,Medium
86,Low,0.3,0.62,4,0.72,0.96,1.0,P2,Team_A,Medium
87,High,0.9,0.56,2,0.64,0.73,0.75,P2,Team_A,Medium
88,Low,0.3,0.41,1,0.95,0.78,0.65,P2,Team_A,Medium
89,High,0.9,0.36,4,0.93,0.46,0.66,P2,Team_A,Medium
90,Low,0.3,0.43,3,0.77,0.4,0.95,P2,Team_C,Medium
91,Medium,0.6,0.88,2,0.78,0.68,0.48,P2,Team_B,Medium
92,High,0.9,0.54,3,0.33,0.8,0.84,P2,Team_A,Medium
93,Low,0.3,0.18,2,0.77,0.65,0.67,P3,Team_B,Low
94,Low,0.3,0.28,2,0.81,0.22,0.54,P3,Team_B,Low
95,Low,0.3,0.78,4,0.95,0.92,0.77,P2,Team_C,Medium
96,Medium,0.6,0.55,2,0.71,0.83,0.42,P2,Team_C,Medium
97,High,0.9,0.72,4,0.33,0.79,0.68,P1,Team_A,High
98,Medium,0.6,0.53,1,0.7,0.72,0.96,P2,Team_A,Medium
99,Medium,0.6,0.26,2,0.61,0.71,0.91,P2,Team_B,Medium
100,Low,0.3,0.7,3,0.41,0.63,0.64,P2,Team_B,Medium
101,High,0.9,0.25,1,0.71,0.61,0.52,P2,Team_B,Medium
102,High,0.9,0.71,2,0.56,0.61,0.79,P1,Team_A,High
103,Medium,0.6,0.23,1,0.75,0.94,0.39,P2,Team_C,Medium
104,Medium,0.6,0.66,1,0.79,0.85,0.43,P2,Team_A,Medium
105,Low,0.3,0.39,3,0.52,0.54,0.73,P3,Team_A,Low
106,Medium,0.6,0.51,1,0.78,0.67,0.62,P2,Team_A,Medium
107,Medium,0.6,0.66,1,0.69,0.71,0.66,P2,Team_B,Medium
108,Medium,0.6,0.7,4,0.89,0.69,0.75,P2,Team_B,Medium
109,Medium,0.6,0.32,2,0.62,0.51,0.46,P2,Team_A,Medium
110,Low,0.3,0.04,4,0.76,0.85,0.94,P3,Team_B,Low
111,Medium,0.6,0.32,4,0.76,0.69,0.45,P2,Team_C,Medium
112,Low,0.3,0.72,3,0.96,0.71,0.31,P2,Team_A,Medium
113,Medium,0.6,0.33,2,0.92,0.82,0.3,P2,Team_B,Medium
114,High,0.9,0.5,3,0.84,0.87,0.57,P2,Team_A,Medium
115,Low,0.3,0.5,3,0.9,0.61,0.86,P2,Team_C,Medium
116,Low,0.3,0.89,4,0.66,0.57,0.36,P2,Team_A,Medium
117,Medium,0.6,0.43,4,0.89,0.91,0.79,P2,Team_B,Medium
118,High,0.9,0.62,1,0.71,0.6,0.85,P1,Team_B,High
119,Low,0.3,0.47,1,0.76,0.6,0.61,P2,Team_A,Medium
120,Low,0.3,0.57,3,0.89,0.7,0.34,P2,Team_B,Medium
121,Medium,0.6,0.19,1,0.42,0.72,0.68,P2,Team_C,Medium
122,Medium,0.6,0.31,1,0.88,0.49,0.85,P2,Team_B,Medium
123,High,0.9,0.38,3,0.59,0.47,0.69,P2,Team_B,Medium
124,Medium,0.6,0.3,2,0.63,0.87,0.67,P2,Team_A,Medium
125,Medium,0.6,0.6,4,0.2,0.26,0.65,P2,Team_A,Medium
126,Low,0.3,0.83,2,0.63,0.74,0.77,P2,Team_A,Medium
127,Low,0.3,0.26,4,0.74,0.77,0.8,P3,Team_A,Low
128,Medium,0.6,0.27,3,0.59,0.78,0.82,P2,Team_B,Medium
129,Medium,0.6,0.46,3,0.58,0.77,0.42,P2,Team_A,Medium
130,High,0.9,0.87,2,0.71,0.69,0.34,P1,Team_C,High
131,Low,0.3,0.43,4,0.7,0.85,0.6,P2,Team_B,Medium
132,High,0.9,0.7,2,0.74,0.74,0.61,P1,Team_B,High
133,Low,0.3,0.52,4,0.95,0.54,0.36,P2,Team_A,Medium
134,High,0.9,0.78,1,0.66,0.61,0.7,P1,Team_A,High
135,Medium,0.6,0.28,2,0.69,0.92,0.64,P2,Team_B,Medium
136,Low,0.3,0.84,2,0.76,0.95,0.5,P2,Team_A,Medium
137,Medium,0.6,0.6,2,0.71,0.84,0.7,P2,Team_C,Medium
138,Medium,0.6,0.56,4,0.66,0.9,0.9,P2,Team_B,Medium
139,Low,0.3,0.6,3,0.62,0.52,0.59,P2,Team_A,Medium
140,Medium,0.6,0.93,2,0.9,0.61,0.36,P2,Team_C,Medium
141,Low,0.3,0.74,1,0.82,0.82,0.46,P2,Team_C,Medium
142,Medium,0.6,0.66,4,0.96,0.62,0.92,P2,Team_A,Medium
143,High,0.9,0.93,3,0.83,0.26,0.62,P1,Team_A,High
144,Low,0.3,0.41,4,0.75,0.64,0.39,P2,Team_B,Medium
145,Low,0.3,0.44,4,0.63,0.98,0.89,P2,Team_C,Medium
146,Low,0.3,0.46,4,0.85,0.78,0.81,P2,Team_B,Medium
147,Medium,0.6,0.61,4,0.67,0.63,0.33,P2,Team_B,Medium
148,High,0.9,0.62,4,0.64,0.94,0.61,P1,Team_C,High
149,Medium,0.6,0.26,4,0.68,0.89,0.52,P2,Team_C,Medium
150,Medium,0.6,0.55,4,0.44,0.55,0.86,P2,Team_C,Medium
151,High,0.9,0.42,1,0.87,0.63,0.79,P2,Team_C,Medium
152,Low,0.3,0.62,2,0.35,0.71,0.89,P2,Team_B,Medium
153,Low,0.3,0.9,3,0.79,0.44,0.45,P2,Team_A,Medium
154,Medium,0.6,0.72,3,0.58,0.98,0.51,P2,Team_C,Medium
155,Medium,0.6,0.7,3,0.84,0.7,0.72,P2,Team_A,Medium
156,Low,0.3,0.56,1,0.69,0.73,0.96,P2,Team_C,Medium
157,Low,0.3,0.97,4,0.79,0.73,0.96,P2,Team_A,Medium
158,Low,0.3,0.51,4,0.76,0.82,0.59,P2,Team_B,Medium
159,Low,0.3,0.38,1,0.74,0.61,0.71,P3,Team_A,Low
160,Low,0.3,0.82,2,0.72,0.59,0.81,P2,Team_A,Medium
161,High,0.9,0.7,3,0.9,0.74,0.54,P1,Team_C,High
162,Medium,0.6,0.13,3,0.37,0.78,0.8,P2,Team_A,Medium
163,Low,0.3,0.45,2,0.94,0.77,0.73,P2,Team_A,Medium
164,Medium,0.6,0.34,4,0.76,0.46,0.78,P2,Team_B,Medium
165,Low,0.3,0.71,1,0.66,0.73,0.9,P2,Team_A,Medium
166,Low,0.3,0.29,4,0.79,0.89,0.45,P3,Team_B,Low
167,High,0.9,0.71,3,0.8,0.65,0.62,P1,Team_A,High
168,Low,0.3,0.67,2,0.48,0.89,0.47,P2,Team_A,Medium
169,Medium,0.6,0.28,3,0.64,0.55,0.61,P2,Team_B,Medium
170,Low,0.3,0.24,4,0.53,0.41,0.69,P3,Team_A,Low
171,Medium,0.6,0.2,3,0.53,0.54,0.51,P2,Team_C,Medium
172,Low,0.3,0.1,1,0.87,0.68,0.91,P3,Team_C,Low
173,Low,0.3,0.6,1,0.66,0.76,0.81,P2,Team_B,Medium
174,Medium,0.6,0.11,2,0.92,0.8,0.83,P2,Team_A,Medium
175,Medium,0.6,0.66,4,0.85,0.32,0.37,P2,Team_A,Medium
176,Medium,0.6,0.27,2,0.68,0.85,0.53,P2,Team_A,Medium
177,High,0.9,0.52,1,0.96,0.59,0.89,P2,Team_C,Medium
178,Low,0.3,0.55,3,0.65,0.67,0.52,P2,Team_B,Medium
179,Medium,0.6,0.25,4,0.72,0.6,0.6,P2,Team_B,Medium
180,Medium,0.6,0.64,2,0.72,0.66,0.59,P2,Team_B,Medium
181,Medium,0.6,0.55,2,0.85,0.61,0.44,P2,Team_A,Medium
182,Medium,0.6,0.32,3,0.7,0.66,0.98,P2,Team_C,Medium
183,Medium,0.6,0.84,3,0.78,0.69,0.79,P2,Team_A,Medium
184,Low,0.3,0.09,3,0.65,0.6,0.6,P3,Team_C,Low
185,High,0.9,0.31,1,0.74,0.79,0.47,P2,Team_C,Medium
186,Medium,0.6,0.16,4,0.84,0.83,0.48,P2,Team_C,Medium
187,Medium,0.6,0.6,1,0.78,0.81,0.4,P2,Team_C,Medium
188,Low,0.3,0.78,4,0.68,0.18,0.59,P2,Team_B,Medium
189,Low,0.3,0.19,4,0.78,0.8,0.88,P3,Team_B,Low
190,High,0.9,0.76,3,0.47,0.6,0.92,P1,Team_C,High
191,Medium,0.6,0.58,4,0.6,0.86,0.37,P2,Team_B,Medium
192,Medium,0.6,0.84,4,0.69,0.84,0.44,P2,Team_B,Medium
193,Medium,0.6,0.67,1,0.88,0.72,0.84,P2,Team_C,Medium
194,Medium,0.6,0.13,4,0.55,0.59,0.39,P2,Team_B,Medium
195,High,0.9,0.42,3,0.44,0.81,0.89,P2,Team_A,Medium
196,High,0.9,0.43,1,0.88,0.63,0.81,P2,Team_B,Medium
197,Low,0.3,0.22,1,0.6,0.69,0.83,P3,Team_C,Low
198,Medium,0.6,0.84,3,0.8,0.59,0.74,P2,Team_B,Medium
199,Low,0.3,0.72,1,0.88,0.68,0.76,P2,Team_A,Medium
200,Low,0.3,0.71,1,0.75,0.72,0.99,P2,Team_B,Medium
201,Medium,0.6,0.68,2,0.58,0.71,0.61,P2,Team_A,Medium
202,High,0.9,0.15,4,0.45,0.96,0.97,P2,Team_C,Medium
203,Low,0.3,0.91,3,0.9,0.96,0.35,P2,Team_A,Medium
204,High,0.9,0.31,3,0.96,0.96,0.9,P2,Team_B,Medium
205,Medium,0.6,0.22,3,0.76,0.69,0.87,P2,Team_A,Medium
206,Low,0.3,0.13,2,0.71,0.46,0.92,P3,Team_B,Low
207,Medium,0.6,0.6,4,0.84,0.9,0.72,P2,Team_A,Medium
208,High,0.9,0.41,1,0.64,0.73,0.98,P2,Team_A,Medium
209,Medium,0.6,0.32,3,0.54,0.51,0.83,P2,Team_C,Medium
210,High,0.9,0.67,3,0.83,0.66,0.49,P1,Team_B,High
211,Medium,0.6,0.91,2,0.5,0.72,0.58,P2,Team_C,Medium
212,Low,0.3,0.84,3,0.89,0.75,0.69,P2,Team_B,Medium
213,High,0.9,0.72,4,0.77,0.84,0.95,P1,Team_A,High
214,Medium,0.6,0.87,4,0.64,0.95,0.48,P2,Team_B,Medium
215,Low,0.3,0.46,2,0.41,0.71,0.56,P2,Team_A,Medium
216,Low,0.3,0.84,2,0.69,0.63,0.83,P2,Team_C,Medium
217,Medium,0.6,0.2,1,0.48,0.58,0.9,P2,Team_A,Medium
218,High,0.9,0.22,2,0.69,0.8,0.69,P2,Team_A,Medium
219,Medium,0.6,0.35,4,0.67,0.8,0.75,P2,Team_C,Medium
220,Medium,0.6,0.13,3,0.43,0.89,0.6,P2,Team_C,Medium
221,Low,0.3,0.42,2,0.7,0.53,0.8,P2,Team_C,Medium
222,Low,0.3,0.4,2,0.44,0.43,0.8,P2,Team_C,Medium
223,High,0.9,0.86,2,0.66,0.88,0.96,P1,Team_B,High
224,Medium,0.6,0.28,1,0.78,0.81,0.96,P2,Team_C,Medium
225,Low,0.3,0.42,3,0.84,0.43,0.7,P2,Team_C,Medium
226,Medium,0.6,0.75,2,0.68,0.35,0.48,P2,Team_C,Medium
227,Medium,0.6,0.47,4,0.88,0.82,0.45,P2,Team_C,Medium
228,Low,0.3,0.66,4,0.69,0.41,0.98,P2,Team_A,Medium
229,High,0.9,0.32,3,0.68,0.19,0.73,P2,Team_A,Medium
230,High,0.9,0.39,4,0.65,0.77,0.42,P2,Team_A,Medium
231,Medium,0.6,0.58,3,0.8,0.62,0.67,P2,Team_A,Medium
232,High,0.9,0.79,2,0.81,0.61,0.66,P1,Team_A,High
233,High,0.9,0.61,3,0.9,0.86,0.32,P1,Team_C,High
234,Medium,0.6,0.21,1,0.83,0.71,0.93,P2,Team_A,Medium
235,Medium,0.6,0.77,4,0.79,0.79,0.34,P2,Team_C,Medium
236,Medium,0.6,0.21,4,0.78,0.39,0.68,P2,Team_A,Medium
237,High,0.9,0.28,1,0.82,0.93,0.81,P2,Team_C,Medium
238,Low,0.3,0.22,3,0.62,0.6,0.71,P3,Team_C,Low
239,Medium,0.6,0.81,4,0.72,0.66,0.37,P2,Team_A,Medium
240,Low,0.3,0.17,2,0.8,0.81,0.75,P3,Team_C,Low
241,Medium,0.6,0.09,1,0.87,0.68,0.67,P2,Team_C,Medium
242,Medium,0.6,0.21,3,0.83,0.48,0.72,P2,Team_B,Medium
243,Medium,0.6,0.22,4,0.66,0.91,0.79,P2,Team_C,Medium
244,Medium,0.6,0.89,4,0.79,0.83,0.64,P2,Team_B,Medium
245,Medium,0.6,0.38,2,0.81,0.67,0.52,P2,Team_A,Medium
246,Medium,0.6,0.43,3,0.63,0.73,0.39,P2,Team_B,Medium
247,Low,0.3,0.43,4,0.82,0.96,0.87,P2,Team_A,Medium
248,High,0.9,0.24,2,0.89,0.62,0.92,P2,Team_C,Medium
249,High,0.9,0.46,2,0.76,0.52,0.86,P2,Team_C,Medium
250,Medium,0.6,0.4,2,0.96,0.92,0.51,P2,Team_A,Medium
251,Medium,0.6,0.72,2,0.79,0.96,0.98,P2,Team_C,Medium
252,Low,0.3,0.54,1,0.42,0.4,0.48,P2,Team_C,Medium
253,Low,0.3,0.07,1,0.59,0.51,0.92,P3,Team_C,Low
254,Low,0.3,0.5,4,0.75,0.58,0.39,P2,Team_A,Medium
255,Medium,0.6,0.6,3,0.78,0.49,0.94,P2,Team_B,Medium
256,Low,0.3,0.36,1,0.57,0.89,0.49,P3,Team_C,Low
257,Medium,0.6,0.68,3,0.59,0.78,0.61,P2,Team_C,Medium
258,Low,0.3,0.5,1,0.81,0.73,0.45,P2,Team_C,Medium
259,Medium,0.6,0.05,4,0.72,0.67,0.89,P2,Team_C,Medium
260,Medium,0.6,0.65,4,0.94,0.7,0.32,P2,Team_C,Medium
261,Medium,0.6,0.46,2,0.92,0.67,0.39,P2,Team_B,Medium
262,Low,0.3,0.53,2,0.93,0.88,0.71,P2,Team_B,Medium
263,High,0.9,0.58,1,0.64,0.48,0.46,P2,Team_A,Medium
264,Medium,0.6,0.46,4,0.49,0.6,0.68,P2,Team_A,Medium
265,Medium,0.6,0.55,1,0.46,0.34,0.41,P2,Team_A,Medium
266,Low,0.3,0.21,4,0.67,0.42,0.39,P3,Team_A,Low
267,High,0.9,0.86,1,0.64,0.74,0.69,P1,Team_A,High
268,Low,0.3,0.77,2,0.77,0.73,0.43,P2,Team_B,Medium
269,Low,0.3,0.76,1,0.63,0.91,0.58,P2,Team_A,Medium
270,Medium,0.6,0.6,1,0.49,0.68,0.33,P2,Team_B,Medium
271,Low,0.3,0.84,3,0.56,0.59,0.58,P2,Team_A,Medium
272,Low,0.3,0.38,3,0.33,0.85,0.85,P3,Team_A,Low
273,Low,0.3,0.72,3,0.68,0.84,0.94,P2,Team_B,Medium
274,High,0.9,0.57,2,0.55,0.81,0.46,P2,Team_C,Medium
275,High,0.9,0.34,1,0.66,0.47,0.45,P2,Team_C,Medium
276,Low,0.3,0.38,4,0.85,0.67,0.73,P3,Team_B,Low
277,High,0.9,0.32,4,0.61,0.74,0.48,P2,Team_B,Medium
278,Low,0.3,0.36,1,0.75,0.59,0.59,P3,Team_B,Low
279,Low,0.3,0.84,2,0.84,0.81,0.56,P2,Team_A,Medium
280,Low,0.3,0.75,2,0.89,0.77,0.8,P2,Team_B,Medium
281,Low,0.3,0.51,1,0.54,0.76,0.33,P2,Team_C,Medium
282,Medium,0.6,0.68,2,0.85,0.71,0.31,P2,Team_C,Medium
283,Low,0.3,0.64,3,0.81,0.33,0.54,P2,Team_B,Medium
284,Low,0.3,0.87,2,0.84,0.27,0.61,P2,Team_B,Medium
285,Low,0.3,0.5,3,0.45,0.31,0.59,P2,Team_A,Medium
286,Low,0.3,0.5,3,0.78,0.44,0.79,P2,Team_B,Medium
287,High,0.9,0.59,2,0.54,0.72,0.95,P2,Team_A,Medium
288,Low,0.3,0.85,2,0.96,0.6,0.71,P2,Team_C,Medium
289,High,0.9,0.79,3,0.64,0.9,0.73,P1,Team_C,High
290,Low,0.3,0.9,4,0.76,0.61,0.69,P2,Team_A,Medium
291,High,0.9,0.62,2,0.47,0.71,0.82,P1,Team_B,High
292,Medium,0.6,0.16,2,0.96,0.6,0.99,P2,Team_A,Medium
293,Medium,0.6,0.72,1,0.49,0.35,0.82,P2,Team_C,Medium
294,Low,0.3,0.28,3,0.86,0.48,0.39,P3,Team_B,Low
295,Low,0.3,0.83,2,0.43,0.81,0.75,P2,Team_B,Medium
296,Medium,0.6,0.86,4,0.71,0.7,0.42,P2,Team_C,Medium
297,High,0.9,0.65,4,0.48,0.7,0.34,P1,Team_B,High
298,Low,0.3,0.65,2,0.66,0.46,0.43,P2,Team_C,Medium
299,Medium,0.6,0.63,4,0.46,0.33,0.49,P2,Team_A,Medium
300,Low,0.3,0.38,2,0.81,0.61,0.64,P3,Team_B,Low
301,Medium,0.6,0.56,1,0.74,0.88,0.34,P2,Team_B,Medium
302,Low,0.3,0.42,3,0.75,0.84,0.56,P2,Team_B,Medium
303,Medium,0.6,0.36,1,0.94,0.42,0.34,P2,Team_B,Medium
304,High,0.9,0.33,2,0.63,0.46,0.31,P2,Team_C,Medium
305,High,0.9,0.25,4,0.9,0.79,0.77,P2,Team_C,Medium
306,Low,0.3,0.73,2,0.61,0.66,0.57,P2,Team_A,Medium
307,Low,0.3,0.63,1,0.99,0.93,0.95,P2,Team_C,Medium
308,Low,0.3,0.47,3,0.91,0.73,0.76,P2,Team_B,Medium
309,High,0.9,0.93,2,0.88,0.74,0.86,P1,Team_A,High
310,Low,0.3,0.13,2,0.78,0.77,0.86,P3,Team_C,Low
311,Medium,0.6,0.41,1,0.66,0.6,0.34,P2,Team_A,Medium
312,Medium,0.6,0.7,2,0.81,0.7,0.54,P2,Team_B,Medium
313,Medium,0.6,0.45,3,0.83,0.56,0.6,P2,Team_C,Medium
314,Low,0.3,0.27,3,0.59,0.76,0.5,P3,Team_A,Low
315,Low,0.3,0.78,1,0.7,0.86,0.38,P2,Team_B,Medium
316,Low,0.3,0.5,3,0.69,0.61,0.32,P2,Team_B,Medium
317,Medium,0.6,0.47,4,0.53,0.63,0.9,P2,Team_C,Medium
318,Low,0.3,0.55,4,0.28,0.6,0.4,P2,Team_B,Medium
319,Low,0.3,0.21,2,0.63,0.87,0.98,P3,Team_C,Low
320,Medium,0.6,0.75,4,0.97,0.76,0.64,P2,Team_A,Medium
321,Medium,0.6,0.72,1,0.92,0.81,0.82,P2,Team_B,Medium
322,Low,0.3,0.56,3,0.95,0.71,0.79,P2,Team_C,Medium
323,Medium,0.6,0.29,4,0.78,0.68,0.52,P2,Team_C,Medium
324,Medium,0.6,0.48,3,0.53,0.9,0.41,P2,Team_B,Medium
325,Medium,0.6,0.84,3,0.91,0.76,0.39,P2,Team_A,Medium
326,Low,0.3,0.96,2,0.62,0.59,0.7,P2,Team_A,Medium
327,Medium,0.6,0.39,2,0.5,0.84,0.77,P2,Team_C,Medium
328,High,0.9,0.31,2,0.74,0.61,0.38,P2,Team_A,Medium
329,High,0.9,0.41,4,0.79,0.69,0.35,P2,Team_C,Medium
330,Medium,0.6,0.33,1,0.59,0.61,0.6,P2,Team_B,Medium
331,High,0.9,0.11,2,0.75,0.67,0.37,P2,Team_A,Medium
332,Low,0.3,0.43,2,0.91,0.93,0.94,P2,Team_C,Medium
333,Low,0.3,0.26,1,0.63,0.72,0.71,P3,Team_A,Low
334,Low,0.3,0.64,1,0.66,0.62,0.5,P2,Team_B,Medium
335,Low,0.3,0.57,4,0.81,0.71,0.97,P2,Team_A,Medium
336,Low,0.3,0.42,3,0.55,0.82,0.4,P2,Team_A,Medium
337,Low,0.3,0.38,2,0.85,0.49,0.93,P3,Team_A,Low
338,High,0.9,0.75,1,0.91,0.81,0.4,P1,Team_B,High
339,Medium,0.6,0.28,4,0.66,0.34,0.33,P2,Team_A,Medium
340,Medium,0.6,0.76,2,0.49,0.65,0.6,P2,Team_C,Medium
341,Low,0.3,0.65,1,0.79,0.74,0.48,P2,Team_B,Medium
342,Low,0.3,0.8,4,0.65,0.44,0.36,P2,Team_B,Medium
343,High,0.9,0.42,4,0.76,0.5,0.93,P2,Team_C,Medium
344,High,0.9,0.03,2,0.76,0.48,0.39,P2,Team_B,Medium
345,Medium,0.6,0.18,3,0.86,0.81,0.49,P2,Team_B,Medium
346,Low,0.3,0.5,1,0.32,0.76,0.6,P2,Team_C,Medium
347,Medium,0.6,0.28,3,0.68,0.82,0.72,P2,Team_C,Medium
348,High,0.9,0.62,2,0.47,0.81,0.72,P1,Team_A,High
349,Medium,0.6,0.77,2,0.64,0.92,0.34,P2,Team_B,Medium
350,High,0.9,0.53,3,0.86,0.89,0.84,P2,Team_C,Medium
351,Low,0.3,0.62,4,0.4,0.75,0.46,P2,Team_C,Medium
352,Low,0.3,0.53,2,0.85,0.79,0.52,P2,Team_A,Medium
353,Medium,0.6,0.51,4,0.72,0.74,0.4,P2,Team_C,Medium
354,Medium,0.6,0.49,3,0.65,0.58,0.84,P2,Team_B,Medium
355,Medium,0.6,0.84,4,0.74,0.55,0.44,P2,Team_B,Medium
356,High,0.9,0.18,1,0.81,0.73,0.55,P2,Team_B,Medium
