incident_id,severity_label,severity_score,area_load,available_teams,team_skill_match,historical_team_performance,citizen_trust_score,reports_nearby_1h,priority_score,priority_level,assigned_team,suggested_resources,resources_count
103,High,0.9,0.37,4,0.59,0.71,0.85,3,0.583,P2,Team_B,Medium,2
104,Medium,0.6,0.43,1,0.63,0.91,0.63,5,0.357,P3,Team_B,Low,1
105,High,0.9,0.28,4,0.48,0.82,0.66,4,0.588,P2,Team_B,Medium,3
106,Medium,0.6,0.4,1,0.78,0.76,0.38,2,0.396,P3,Team_B,Low,1
107,Low,0.3,0.62,2,0.62,0.88,0.88,5,0.378,P3,Team_C,Low,1
108,Medium,0.6,0.32,2,0.9,0.89,0.62,2,0.476,P2,Team_B,Medium,2
109,Medium,0.6,0.93,3,0.58,0.96,0.57,2,0.578,P2,Team_B,Medium,3
110,Low,0.3,0.4,1,0.69,0.94,0.4,3,0.253,P3,Team_C,Low,1
111,Low,0.3,0.39,1,0.56,0.98,0.89,3,0.373,P3,Team_B,Low,1
112,High,0.9,0.35,3,0.62,0.88,0.62,5,0.58,P2,Team_B,Medium,2
113,High,0.9,0.28,3,0.65,0.58,0.64,3,0.748,P1,Team_C,High,4
114,Low,0.3,0.27,3,0.74,0.73,0.93,2,0.32,P3,Team_B,Low,1
115,High,0.9,0.78,2,0.67,0.86,0.97,0,0.641,P2,Team_B,Medium,2
116,Low,0.3,0.75,4,0.58,0.76,0.59,1,0.341,P3,Team_B,Low,1
117,Medium,0.6,0.39,3,0.46,0.61,0.58,2,0.54,P2,Team_A,Medium,2
118,Medium,0.6,0.45,1,0.84,0.55,0.75,3,0.496,P2,Team_A,Medium,3
119,Medium,0.6,0.17,4,0.66,0.69,0.79,2,0.467,P2,Team_A,Medium,3
120,Low,0.3,0.22,4,0.71,0.85,0.7,4,0.291,P3,Team_B,Low,1
121,Medium,0.6,0.48,3,0.87,0.57,0.3,3,0.512,P2,Team_C,Medium,2
122,Medium,0.6,0.62,1,0.62,0.54,0.92,2,0.48,P2,Team_C,Medium,3
123,Medium,0.6,0.72,4,0.66,0.38,0.81,1,0.631,P2,Team_A,Medium,3
124,Low,0.3,0.55,1,0.6,0.42,0.89,0,0.276,P3,Team_B,Low,1
125,High,0.9,0.11,4,0.93,0.65,0.56,1,0.618,P2,Team_A,Medium,3
126,Low,0.3,0.29,3,0.87,0.35,0.34,1,0.355,P3,Team_C,Low,1
127,Low,0.3,0.59,4,0.86,0.45,0.33,2,0.394,P3,Team_C,Low,1
128,Low,0.3,0.61,4,0.92,0.7,0.94,6,0.305,P3,Team_B,Low,1
129,Medium,0.6,0.59,4,0.93,0.81,0.32,2,0.558,P2,Team_B,Medium,2
130,Low,0.3,0.97,4,0.74,0.86,0.55,2,0.352,P3,Team_B,Low,1
131,Low,0.3,0.43,4,0.35,0.65,0.96,5,0.248,P3,Team_B,Low,1
132,Low,0.3,0.9,3,0.34,0.91,0.41,4,0.45,P2,Team_B,Medium,2
133,Medium,0.6,0.56,3,0.44,0.46,0.87,2,0.589,P2,Team_C,Medium,2
134,High,0.9,0.28,4,0.64,0.82,0.33,2,0.695,P1,Team_B,High,5
135,High,0.9,0.84,3,0.68,0.61,0.54,7,0.752,P1,Team_C,High,6
136,Medium,0.6,0.61,1,0.93,0.56,0.65,4,0.553,P2,Team_C,Medium,3
137,Low,0.3,0.47,1,0.79,0.67,0.43,0,0.288,P3,Team_C,Low,1
138,Medium,0.6,0.54,3,0.87,0.7,0.85,4,0.44,P2,Team_C,Medium,2
139,Low,0.3,0.55,2,0.85,0.61,0.44,2,0.39,P3,Team_B,Low,1
140,Medium,0.6,0.25,3,0.48,0.69,0.96,1,0.343,P3,Team_A,Low,1
141,Low,0.3,0.39,1,0.78,0.59,0.77,2,0.274,P3,Team_B,Low,1
142,Low,0.3,0.42,3,0.51,0.86,0.91,1,0.29,P3,Team_B,Low,1
143,Low,0.3,0.33,1,0.64,0.67,0.44,4,0.374,P3,Team_C,Low,1
144,High,0.9,0.54,3,0.96,0.47,0.51,1,0.621,P2,Team_A,Medium,3
145,Low,0.3,0.55,1,0.75,0.88,0.78,1,0.26,P3,Team_C,Low,1
146,Medium,0.6,0.38,1,0.9,0.32,0.44,7,0.458,P2,Team_A,Medium,2
147,Low,0.3,0.19,4,0.58,0.28,0.92,2,0.28,P3,Team_B,Low,1
148,Low,0.3,0.74,4,0.69,0.84,0.44,3,0.486,P2,Team_B,Medium,2
149,Medium,0.6,0.63,1,0.88,0.21,0.35,4,0.682,P1,Team_A,High,5
150,High,0.9,0.34,3,0.74,0.46,0.64,5,0.644,P2,Team_C,Medium,2
151,High,0.9,0.08,4,0.75,0.74,0.88,3,0.481,P2,Team_B,Medium,3
152,High,0.9,0.75,1,0.91,0.92,0.72,5,0.688,P1,Team_A,High,4
153,Medium,0.6,0.45,3,0.7,0.84,0.6,4,0.561,P2,Team_B,Medium,2
154,Medium,0.6,0.83,3,0.74,0.79,0.62,5,0.603,P2,Team_B,Medium,3
155,Low,0.3,0.67,2,0.72,0.95,0.97,3,0.31,P3,Team_C,Low,1
156,Low,0.3,0.21,3,0.96,0.26,0.4,4,0.401,P3,Team_C,Low,1
157,Medium,0.6,0.46,3,0.52,0.6,0.98,1,0.507,P2,Team_A,Medium,2
158,Low,0.3,0.84,2,0.82,0.91,0.41,5,0.579,P2,Team_C,Medium,3
159,Low,0.3,0.36,4,0.91,0.84,0.78,4,0.279,P3,Team_C,Low,1
160,Low,0.3,0.62,2,0.67,0.99,0.38,0,0.331,P3,Team_C,Low,1
161,Low,0.3,0.48,1,0.65,0.79,0.79,2,0.299,P3,Team_C,Low,1
162,Medium,0.6,0.76,1,0.77,0.84,0.68,3,0.554,P2,Team_B,Medium,3
163,High,0.9,0.29,3,0.39,0.75,0.66,7,0.612,P2,Team_B,Medium,3
164,Medium,0.6,0.89,4,0.79,0.58,0.56,5,0.526,P2,Team_C,Medium,2
165,Low,0.3,0.29,4,0.85,0.75,0.37,2,0.262,P3,Team_C,Low,1
166,Medium,0.6,0.46,3,0.46,0.62,0.32,3,0.739,P1,Team_A,High,6
167,Medium,0.6,0.33,2,0.6,0.74,0.9,5,0.445,P2,Team_A,Medium,2
168,Low,0.3,0.23,4,0.82,0.59,0.99,2,0.315,P3,Team_B,Low,1
169,High,0.9,0.56,2,0.9,0.5,0.7,3,0.741,P1,Team_A,High,6
170,Medium,0.6,0.32,2,0.93,0.81,0.38,4,0.427,P2,Team_B,Medium,2
171,Medium,0.6,0.83,3,0.44,0.7,0.7,3,0.596,P2,Team_A,Medium,2
172,Medium,0.6,0.27,3,0.54,0.47,0.32,4,0.557,P2,Team_A,Medium,2
173,Low,0.3,0.65,2,0.78,0.68,0.88,4,0.294,P3,Team_C,Low,1
174,Low,0.3,0.93,2,0.89,0.62,0.73,2,0.462,P2,Team_C,Medium,3
175,High,0.9,0.33,1,0.81,0.9,0.32,2,0.602,P2,Team_A,Medium,3
176,High,0.9,0.15,1,0.86,0.68,0.52,0,0.581,P2,Team_A,Medium,3
177,High,0.9,0.69,2,0.83,0.96,0.45,6,0.74,P1,Team_A,High,6
178,Low,0.3,0.57,4,0.68,0.53,0.94,3,0.394,P3,Team_C,Low,1
179,High,0.9,0.62,2,0.84,0.72,0.33,3,0.751,P1,Team_A,High,5
180,High,0.9,0.48,4,0.91,0.76,0.34,4,0.74,P1,Team_A,High,4
181,Low,0.3,0.63,2,0.39,0.49,0.83,1,0.324,P3,Team_C,Low,1
182,Low,0.3,0.18,2,0.94,0.89,0.47,5,0.252,P3,Team_C,Low,1
183,Medium,0.6,0.99,3,0.56,0.91,0.53,6,0.566,P2,Team_B,Medium,3
184,High,0.9,0.51,2,0.8,0.54,0.6,2,0.739,P1,Team_A,High,5
185,Low,0.3,0.6,4,0.75,0.22,0.74,7,0.403,P3,Team_B,Low,1
186,High,0.9,0.7,2,0.87,0.5,0.72,4,0.768,P1,Team_A,High,4
187,Low,0.3,0.82,3,0.78,0.88,0.92,0,0.395,P3,Team_B,Low,1
188,Low,0.3,0.67,1,0.81,0.97,0.88,2,0.226,P3,Team_B,Low,1
189,Low,0.3,0.24,3,0.72,0.69,1.0,2,0.223,P3,Team_B,Low,1
190,Low,0.3,0.9,4,0.49,0.87,0.98,1,0.361,P3,Team_B,Low,1
191,Low,0.3,0.7,2,0.8,0.83,0.67,9,0.458,P2,Team_C,Medium,3
192,Medium,0.6,0.22,1,0.79,0.51,0.92,3,0.42,P3,Team_A,Low,1
193,Medium,0.6,0.59,1,0.94,0.92,0.45,1,0.498,P2,Team_B,Medium,3
194,Low,0.3,0.54,4,0.59,0.85,0.96,3,0.421,P2,Team_C,Medium,3
195,High,0.9,0.32,2,0.58,0.56,0.73,0,0.556,P2,Team_C,Medium,3
196,Low,0.3,0.61,1,0.62,0.93,0.95,2,0.337,P3,Team_B,Low,1
197,Medium,0.6,0.26,4,0.92,0.57,0.4,3,0.428,P2,Team_C,Medium,2
198,High,0.9,0.33,3,0.63,0.9,0.96,2,0.58,P2,Team_B,Medium,3
199,High,0.9,0.31,2,0.89,0.87,0.59,0,0.7,P1,Team_A,High,4
200,Low,0.3,0.42,1,0.74,0.46,0.35,4,0.39,P3,Team_C,Low,1
201,Medium,0.6,0.39,3,0.89,0.78,0.78,2,0.476,P2,Team_B,Medium,2
202,Medium,0.6,0.34,1,0.86,0.64,0.41,3,0.568,P2,Team_C,Medium,2
203,Low,0.3,0.19,4,0.84,0.46,0.94,1,0.234,P3,Team_B,Low,1
204,Low,0.3,0.39,1,0.53,0.46,0.74,3,0.289,P3,Team_C,Low,1
205,Low,0.3,0.45,1,0.65,0.85,0.71,0,0.361,P3,Team_C,Low,1
206,Medium,0.6,0.17,2,0.9,0.81,0.3,1,0.45,P2,Team_B,Medium,3
207,Medium,0.6,0.17,2,0.75,0.79,0.41,2,0.55,P2,Team_B,Medium,2
208,Medium,0.6,0.11,3,0.63,0.58,0.84,3,0.452,P2,Team_A,Medium,2
209,High,0.9,0.74,3,0.58,0.54,0.78,4,0.78,P1,Team_C,High,5
210,Low,0.3,0.33,3,0.7,0.56,0.48,2,0.381,P3,Team_B,Low,1
211,High,0.9,0.5,2,0.54,0.25,0.8,3,0.749,P1,Team_C,High,6
212,Medium,0.6,0.54,2,0.85,0.68,0.31,4,0.627,P2,Team_C,Medium,3
213,Medium,0.6,0.33,4,0.97,0.92,0.33,5,0.516,P2,Team_B,Medium,3
214,Low,0.3,0.26,4,0.87,0.63,0.52,1,0.35,P3,Team_C,Low,1
215,Low,0.3,0.68,1,0.54,0.76,0.33,3,0.409,P3,Team_C,Low,1
216,Medium,0.6,0.67,4,0.55,0.83,0.87,6,0.569,P2,Team_B,Medium,3
217,Low,0.3,0.55,3,0.89,0.78,0.65,0,0.32,P3,Team_B,Low,1
218,High,0.9,0.56,4,0.46,0.88,0.59,2,0.638,P2,Team_B,Medium,2
219,Low,0.3,0.69,4,0.72,0.88,0.84,6,0.478,P2,Team_B,Medium,2
220,High,0.9,0.67,2,0.78,0.74,0.72,3,0.769,P1,Team_B,High,5
221,Low,0.3,0.76,4,0.76,0.79,0.51,2,0.387,P3,Team_B,Low,1
222,Low,0.3,0.24,2,0.88,0.51,0.94,3,0.331,P3,Team_B,Low,1
223,Low,0.3,0.47,2,0.66,0.56,0.83,4,0.327,P3,Team_C,Low,1
224,High,0.9,0.08,2,0.7,0.86,0.43,3,0.591,P2,Team_B,Medium,2
225,Low,0.3,0.51,1,0.29,0.75,0.33,5,0.367,P3,Team_B,Low,1
226,High,0.9,0.78,3,0.94,0.78,0.58,4,0.762,P1,Team_A,High,6
227,Low,0.3,0.43,3,0.71,0.31,0.95,2,0.331,P3,Team_C,Low,1
228,Low,0.3,0.51,2,0.86,0.7,0.43,5,0.308,P3,Team_C,Low,1
229,Low,0.3,0.49,2,0.29,0.36,0.63,2,0.456,P2,Team_C,Medium,2
230,Low,0.3,0.24,4,0.67,0.81,0.56,5,0.276,P3,Team_B,Low,1
231,Low,0.3,0.72,2,0.77,0.95,0.58,5,0.404,P3,Team_C,Low,1
232,Medium,0.6,0.81,1,0.58,0.73,0.37,6,0.577,P2,Team_A,Medium,3
233,High,0.9,0.46,3,0.64,0.77,0.83,2,0.629,P2,Team_B,Medium,2
234,Medium,0.6,0.74,1,0.8,0.39,0.32,3,0.526,P2,Team_C,Medium,2
235,High,0.9,0.75,1,0.99,0.93,0.95,1,0.624,P2,Team_A,Medium,2
236,Low,0.3,0.13,4,0.61,0.53,0.72,2,0.305,P3,Team_C,Low,1
237,Low,0.3,0.54,2,0.6,0.86,0.71,2,0.328,P3,Team_B,Low,1
238,High,0.9,0.58,4,0.8,0.63,0.9,2,0.66,P1,Team_A,High,4
239,Medium,0.6,0.39,3,0.53,0.58,0.66,3,0.489,P2,Team_C,Medium,2
240,Low,0.3,0.44,2,0.68,0.71,0.72,1,0.333,P3,Team_C,Low,1
241,Medium,0.6,0.73,4,0.52,0.71,0.4,2,0.581,P2,Team_A,Medium,3
242,Low,0.3,0.77,1,0.48,0.47,0.96,5,0.371,P3,Team_C,Low,1
243,Medium,0.6,0.35,1,0.91,0.8,0.87,0,0.452,P2,Team_B,Medium,2
244,Low,0.3,0.77,2,0.5,0.45,0.43,2,0.49,P2,Team_B,Medium,2
245,Low,0.3,0.67,4,0.65,0.52,0.61,3,0.386,P3,Team_C,Low,1
246,Low,0.3,0.69,4,0.83,0.29,0.36,1,0.492,P2,Team_C,Medium,2
247,Medium,0.6,0.67,2,0.79,0.81,0.91,2,0.542,P2,Team_B,Medium,2
248,Low,0.3,0.61,3,0.56,0.73,0.31,2,0.386,P3,Team_B,Low,1
249,Medium,0.6,0.52,2,0.65,0.84,0.58,2,0.509,P2,Team_B,Medium,3
250,High,0.9,0.12,3,0.84,0.68,0.51,2,0.578,P2,Team_A,Medium,3
251,High,0.9,0.49,1,0.84,0.83,0.65,2,0.665,P1,Team_A,High,5
252,High,0.9,0.52,1,0.61,0.84,0.39,5,0.628,P2,Team_B,Medium,3
253,Low,0.3,0.64,2,0.79,0.44,0.66,4,0.372,P3,Team_B,Low,1
254,Low,0.3,0.45,2,0.86,0.78,0.99,5,0.367,P3,Team_C,Low,1
255,Low,0.3,0.67,2,0.14,0.81,0.53,2,0.274,P3,Team_C,Low,1
256,Low,0.3,0.28,3,0.72,0.85,0.39,2,0.304,P3,Team_B,Low,1
257,Medium,0.6,0.44,4,0.93,0.78,0.53,3,0.461,P2,Team_B,Medium,3
258,High,0.9,0.29,1,0.86,0.6,0.94,2,0.568,P2,Team_A,Medium,2
259,Low,0.3,0.41,3,0.95,0.87,0.78,2,0.319,P3,Team_B,Low,1
260,Low,0.3,0.66,2,0.88,0.71,0.56,2,0.367,P3,Team_C,Low,1
261,Medium,0.6,0.13,3,0.91,0.71,0.35,2,0.313,P3,Team_A,Low,1
262,Low,0.3,0.46,1,0.85,0.35,0.93,4,0.39,P3,Team_C,Low,1
263,High,0.9,0.67,4,0.63,0.76,0.67,2,0.687,P1,Team_B,High,4
264,Low,0.3,0.35,1,0.69,0.85,0.99,3,0.265,P3,Team_C,Low,1
265,Medium,0.6,0.47,3,0.83,0.75,0.32,3,0.553,P2,Team_B,Medium,3
266,Low,0.3,0.12,3,0.84,0.75,0.91,3,0.28,P3,Team_C,Low,1
267,Low,0.3,0.61,1,0.81,0.41,0.5,2,0.485,P2,Team_C,Medium,3
268,Low,0.3,0.5,2,0.57,0.83,0.84,1,0.263,P3,Team_C,Low,1
269,High,0.9,0.64,3,0.72,0.42,0.92,1,0.749,P1,Team_C,High,4
270,Medium,0.6,0.83,1,0.81,0.64,0.78,2,0.59,P2,Team_A,Medium,2
271,Medium,0.6,0.5,1,0.66,0.33,0.45,4,0.627,P2,Team_A,Medium,2
272,Low,0.3,0.64,3,0.73,0.95,0.35,4,0.489,P2,Team_B,Medium,2
273,Low,0.3,0.39,4,0.57,0.85,0.81,5,0.308,P3,Team_C,Low,1
274,High,0.9,0.64,3,0.84,0.61,0.59,0,0.734,P1,Team_A,High,6
275,Medium,0.6,0.75,1,0.53,0.76,0.54,1,0.589,P2,Team_B,Medium,3
276,Medium,0.6,0.54,4,0.87,0.91,0.91,1,0.448,P2,Team_B,Medium,2
277,Medium,0.6,0.41,4,0.91,0.91,0.96,5,0.436,P2,Team_B,Medium,2
278,High,0.9,0.7,4,0.34,1.0,0.81,2,0.643,P2,Team_B,Medium,2
279,High,0.9,0.49,4,0.75,0.79,0.79,3,0.666,P1,Team_B,High,5
280,Medium,0.6,0.31,4,0.74,0.84,0.31,2,0.592,P2,Team_B,Medium,3
281,Medium,0.6,0.36,2,0.37,0.55,0.31,1,0.501,P2,Team_C,Medium,3
282,Low,0.3,0.44,4,0.9,0.74,0.55,3,0.339,P3,Team_B,Low,1
283,Low,0.3,0.21,3,0.87,0.41,0.69,3,0.357,P3,Team_B,Low,1
284,Medium,0.6,0.44,3,0.57,0.85,0.31,5,0.52,P2,Team_B,Medium,3
285,Medium,0.6,0.2,4,0.94,0.81,0.48,3,0.532,P2,Team_B,Medium,2
286,Low,0.3,0.73,3,0.76,0.82,0.52,5,0.39,P3,Team_B,Low,1
287,Low,0.3,0.93,2,0.45,0.5,0.73,3,0.399,P3,Team_B,Low,1
288,Low,0.3,0.31,4,0.77,0.91,0.59,1,0.285,P3,Team_B,Low,1
289,High,0.9,0.61,1,0.82,0.76,0.71,2,0.6,P2,Team_A,Medium,3
290,High,0.9,0.19,1,0.62,0.91,0.82,2,0.645,P2,Team_B,Medium,3
291,Low,0.3,0.23,4,0.65,0.89,0.96,0,0.17,P3,Team_C,Low,1
292,Low,0.3,0.49,4,0.72,0.61,0.41,7,0.413,P3,Team_B,Low,1
293,Low,0.3,0.67,4,0.78,0.77,0.89,4,0.352,P3,Team_B,Low,1
294,Medium,0.6,0.82,2,0.65,0.71,0.8,3,0.57,P2,Team_C,Medium,2
295,Medium,0.6,0.3,4,0.67,0.7,0.92,2,0.369,P3,Team_A,Low,1
296,Low,0.3,0.66,3,0.95,0.71,0.82,7,0.427,P2,Team_B,Medium,3
297,Low,0.3,0.42,2,0.76,0.78,0.65,2,0.315,P3,Team_B,Low,1
